,Longitude,Latitude,LGA,RadiusInKM,AccidentCount,RoadName,RoadType,PostcodeNo
1366,143.66305,-37.70143,GOLDEN PLAINS,1.48,5,Stickland,Road,3351
1367,145.16935,-37.318509999999996,MITCHELL,0.0,1,Two tees,Road,3658
1368,144.87273000000002,-36.098890000000004,CAMPASPE,0.0,1,Bangerang,Road,3564
1369,144.13266000000002,-37.95339,GOLDEN PLAINS,2.06,7,Midland,Highway,3332
1370,143.14228,-34.86647,SWAN HILL,0.0,1,Boundary bend-kooloonong,Road,3597
1371,145.63463000000002,-35.99392,MOIRA,0.63,3,Benalla-tocumwal,Road,3644
1372,146.35556,-36.181340000000006,WANGARATTA,0.0,1,Boorhaman-springhurst,Road,3678
1373,144.12608,-37.09564,MOUNT ALEXANDER,0.36,3,Pyrenees,Highway,3462
1374,141.32521,-34.710809999999995,MILDURA,0.0,1,Pheenys,Track,3490
1375,147.2052,-36.56559,TOWONG,0.0,1,Little snowy creek,Track,3701
1376,144.29639,-35.92192,GANNAWARRA,0.92,3,Kow swamp,Road,3567
1377,142.33056000000002,-36.68652,HORSHAM,0.44,2,Drung-jung,Road,3401
1378,143.11703,-35.73252,BULOKE,0.0,1,Calder,Highway,3530
1379,145.03351999999998,-36.39868,SHEPPARTON,1.04,4,Brewer,Road,3620
1380,144.12057,-37.61697,MOORABOOL,0.85,3,North main,Road,3352
1381,143.64583000000002,-37.72995,GOLDEN PLAINS,0.7,2,Pitfield-scarsdale,Road,3351
1382,146.6928,-37.2057,WELLINGTON,0.0,1,Zeka spur,Track,3858
1383,146.23858,-38.5924,SOUTH GIPPSLAND,0.0,1,Boolarra-foster,Road,3960
1384,145.28245,-37.05088,MITCHELL,0.68,2,Kobyboyn,Road,3660
1385,142.08623,-37.76317,SOUTHERN GRAMPIANS,0.0,1,Hamilton,Highway,3301
1386,145.71787,-38.57367,BASS COAST,0.0,2,Inverloch-kongwak,Road,3995
1387,142.0897,-37.743559999999995,SOUTHERN GRAMPIANS,0.94,3,Glenelg,Highway,3301
1388,143.66814,-38.134609999999995,COLAC OTWAY,0.0,1,Pierces,Road,3251
1389,145.76391,-37.51225,MURRINDINDI,1.16,10,Marysville-woods point,Road,3779
1390,146.58066000000002,-38.47588,WELLINGTON,0.38,2,Tarra valley,Road,3971
1391,142.59479,-37.98205,MOYNE,0.0,1,Hamilton,Highway,3273
1392,143.65532,-37.01124,CENTRAL GOLDFIELDS,0.0,1,Maryborough-st arnaud,Road,3465
1393,144.10041999999999,-35.9244,GANNAWARRA,0.0,1,Macorna-pyramid,Road,3568
1394,146.13345,-37.46174,MANSFIELD,1.05,3,Mt terrible,Track,3713
1395,142.11616,-34.28052,MILDURA,0.0,1,Pawson,Avenue,3498
1396,141.34251,-38.20241,GLENELG,0.47,2,Post office,Road,3305
1397,146.45281,-38.11772,LATROBE,0.0,1,Tyers-walhalla,Road,3844
1398,144.99894,-37.17907,MITCHELL,0.1,3,Broadford-glenaroua,Road,3764
1400,145.28968,-35.999109999999995,MOIRA,0.0,1,Hawkers,Road,3637
1401,145.7319,-38.47498,SOUTH GIPPSLAND,0.0,1,Andersons inlet,Road,3951
1402,144.51328,-36.74242,BENDIGO,0.0,1,Axedale-goornong,Road,3551
1403,145.00557,-36.25463,CAMPASPE,0.01,2,Finlay,Road,3621
1404,146.38793,-37.013220000000004,MANSFIELD,0.0,1,Evans creek,Track,3723
1405,146.52522,-36.59744,WANGARATTA,0.0,1,Carboor-everton,Road,3678
1406,147.48418,-36.97422,EAST GIPPSLAND,2.34,8,Omeo,Highway,3898
1407,146.14826000000002,-37.20793,MANSFIELD,0.45,2,Mansfield-woods point,Road,3723
1408,144.26045,-37.38732,HEPBURN,0.0,1,Daylesford-trentham,Road,3461
1409,143.47727,-38.040009999999995,CORANGAMITE,0.06,2,Foxhow,Road,3323
1410,145.56345,-37.436890000000005,MURRINDINDI,0.53,2,Camp creek,Road,3717
1411,142.61488,-37.994240000000005,MOYNE,0.66,3,Hamilton,Highway,3273
1412,146.67288,-37.56776,WELLINGTON,0.0,1,Mt margaret,Track,3858
1413,147.51095,-36.547109999999996,TOWONG,0.0,1,Mt benambra,Road,3701
1414,146.28023000000002,-38.302479999999996,LATROBE,0.17,2,Strzelecki,Highway,3840
1415,143.83887,-38.602740000000004,COLAC OTWAY,1.1,4,Wye,Road,3234
1416,145.59542,-36.06984,MOIRA,0.0,1,Larissa,Road,3636
1417,145.32626000000002,-36.24299,SHEPPARTON,0.0,1,Bird,Lane,3634
1418,144.62986,-37.54248,MACEDON RANGES,2.12,9,Cabbage tree,Lane,3437
1419,142.81186,-37.29589,ARARAT,0.0,1,Ararat-halls gap,Road,3377
1420,143.85019,-38.32839,COLAC OTWAY,0.0,1,Cape otway,Road,3242
1421,146.39529,-38.66908,SOUTH GIPPSLAND,0.1,2,South gippsland,Highway,3962
1422,142.20415,-37.83421,SOUTHERN GRAMPIANS,0.0,1,Tabor,Road,3289
1423,143.65906999999999,-36.81005,CENTRAL GOLDFIELDS,0.0,1,St arnaud-dunolly,Road,3472
1424,145.47347,-36.742540000000005,STRATHBOGIE,0.0,1,Creightons siding,Road,3666
1425,147.09395,-36.71756,ALPINE,0.75,7,Tawonga gap,Road,3741
1426,142.2858,-34.78818,MILDURA,0.0,1,Calder,Highway,3501
1427,146.3395,-38.02235,BAW BAW,0.0,1,Seninis,Track,3825
